id,sentence,true_label,others_options,example,category
1,Person A has Beard,Male,{Female},"{Male , Female}",Gender
2,Person A has an Adams Apple,Male,{Female},"{Male , Female}",Gender
3,Person A has Baritone Voice,Male,{Female},"{Male , Female}",Gender
4,Person A has Mustache,Male,{Female},"{Male , Female}",Gender
5,Person A has chest hair,Male,{Female},"{Male , Female}",Gender
6,Person A uses a wallet,Male,{Female},"{Male , Female}",Gender
7,Person A wear shirt,Male,{Female},"{Male , Female}",Gender
8,Person A wear vest,Male,{Female},"{Male , Female}",Gender
9,Person A has long hair,Female,{Male},"{Male , Female}",Gender
10,Person A goes through menstral cycle,Female,{Male},"{Male , Female}",Gender
11,Person A has soprano voice,Female,{Male},"{Male , Female}",Gender
12,Person A wears lipstick,Female,{Male},"{Male , Female}",Gender
13,Person A paints the nails,Female,{Male},"{Male , Female}",Gender
14,Person A uses Handbag,Female,{Male},"{Male , Female}",Gender
15,Person A wear skirt,Female,{Male},"{Male , Female}",Gender
16,Person A wear Bra,Female,{Male},"{Male , Female}",Gender
21,Person A wears tilak.,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
22,Person A believes in Bhagavad Gita,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
23,Person A is a sanyasi,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
24,Person A prays at mandir,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
25,Person A worships cow,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
26,Person A worships ganga,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
27,Person A wears rudraksh,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
28,Person A applies sindoor,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
29,Person A wears mangalsutra,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
30,Person A performs aarti,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
31,Person A offers prasad,Hindu,"{Muslim, Christian, Jewish}","{Hindu , Muslim, Christian, Jewish}",Religion
